Mascot_ID,name,team,date_unveiled,mhof_nominated_year,mhof_inducted_date,history,student_pro,image_file,image_url,character_type,maker,variety,sub_variety,current_character,selection_process,performer_type,year_retired,website
11,Sluggerr,8,05-Apr-96,,01-Jan-17,"The lion whose mane looks like a crown made his debut on April 5, 1996. The word slugger also refers to a powerful batter with a high percentage of extra base hits. Sluggerrr is one of few mascots that has Facebook and Twitter accounts, both clearly marked on his homepage.

In 2010, Sluggerrr was sued by a man named John Coomer for allegedly firing a hotdog at his eye, while the mascot was shooting hotdogs into the stands. The Royals later fired the current man behind Sluggerrr and replaced him.[20]

In 2017, Sluggerrr was inducted into the Mascot Hall of Fame.",0,C:\MHOF\MLB Images\kc_mascot.jpg,,1,3,6,3,1,,,,
12,Billy the Marlin,17,01-Apr-93,,,"Resembling a marlin with limbs, he can be seen at every Marlins home game. He competes in a waterboat race, which is a computer-animated video shown on the screen, during each game. The name, picked by original team owner Wayne Huizenga, is derived from the fact that a marlin is a billfish, and Huizenga wanted a name that was different from the baseball type names of other mascots (like Slider and Sluggerrr) and one that children could remember more easily. On Mothers Day and Father's Day, Billy is joined by his parents, Bill Sr. and Betty the Marlin. Billy is also seen at games dancing with kids on the field in between innings and making special appearances in the Fan Zone.

On Opening Day of 1997, the year the Marlins won their first World Series Championship, a Navy SEAL who was parachuting into Hard Rock Stadium (then known as Pro Player Stadium) as Billy, lost the head in mid-air. While the crowd was unaware of the problem, media outlets had been alerted to Billy's parachute entrance. When he didn't arrive, the media ran with the story, getting national attention and leading to ESPN's Dan Patrick's nightly quote, ""Bring me the head of Billy the Marlin!""

The original Billy The Marlin was John Routh, who spent 10 years (1993–2002) entertaining Marlins fans.[2] Routh previously portrayed the University of Miami mascots, Sebastian the Ibis and The Miami Maniac from 1983–1993, and prior to that, Cocky for the University of South Carolina Gamecocks",0,C:\MHOF\MLB Images\mia_mascot.jpg,,1,,11,,1,,,,
13,Bernie Brewer,22,01-Apr-93,,,"The Bernie Brewer character became the team's mascot in 1973, appearing as a cheerful man with a big mustache. A beer-barreled chalet was built for him inside the stadium where he led the crowd cheering. Following each home run and every victory by the Brewers, he would slide down and plunge himself into a huge beer mug in celebration. He was joined by a companion Bonnie Brewer, who would playfully swat at the backside of the opposing team's third base coach with a broom as the field crew swept the base paths.

Bernie Brewer was a fixture at Brewers home games until 1984, when the Brewers re-built the bleachers, replacing the chalet with a sound tower and sending Bernie into retirement. By popular demand, Bernie Brewer came out of his retirement in 1993, when the fans voted for his return. Bernie was brought back not as just a mustachioed man in lederhosen, but a full-body costume of a man, including large foam head. The chalet was then rebuilt (it had been in storage on the third base side under the box seats) above the left-center field bleachers. The original beer mug that Bernie used to slide into is still in Milwaukee, Wisconsin as part of the Lakefront Brewery, Inc. tour.",0,C:\MHOF\MLB Images\mil_mascot.jpg,,3,,3,,1,,,,
14,Stomper,15,01-Jan-97,,,"Stomper is the mascot of the Oakland Athletics. Created in 1997, he is an elephant who wears an A's uniform adorned with the number 00. Stomper has performed at several All-Star Games and has appeared in a Public Service Announcement discouraging the use of chewing tobacco.

The use of an elephant to symbolize the A's dates back to the early years of the franchise, when a group of Philadelphia businessmen, headed by industrialist Benjamin Shibe, became the team's first owners. When asked to comment, John McGraw, manager of the New York Giants of the rival National League, said something to the effect that ""Shibe had bought himself a white elephant."" In response, A's manager (and future owner) Connie Mack selected the elephant as the team symbol and mascot. From time to time an illustration of an elephant has been featured on the Athletics uniform, including from 1988 to the present.

Name: Stomper
Height: 6' 6""
Weight: A ton of fun!
Debut: April 2, 1997 (Opening Night!)
Position: Official A's Mascot
Dances: Yes!
Parents: Stella & Stanley
Hometown: Oakland",0,C:\MHOF\MLB Images\oak_mascot.jpg,,1,14,12,,1,Hiring Process,,,
15,The Pirate Parrot,24,01-Apr-79,,,"The Pirate Parrot debuted in 1979. He is a large green parrot who wears a Pirates jersey and cap. The character of a parrot was derived from the classic story Treasure Island by Robert Louis Stevenson, most notably the one owned by Long John Silver named ""Captain Flint"". He is often seen dancing on the dugouts and shooting hot-dogs from a cannon.",0,C:\MHOF\MLB Images\pit_mascot.jpg,,1,,10,20,1,,,,
16,The Swinging Friar,29,01-Jan-00,,,"The Swinging Friar has been a mascot with the team as early as 1958, when the Padres were still a member of the Pacific Coast League, a minor league baseball organization. He was named after the Spanish Franciscan friars, who founded the Mission San Diego de Alcalá, around which the city of San Diego began to emerge in the 18th century. The Padres joined Major League Baseball in 1969 and kept the popular mascot. He was even on the team emblem until 1984. Wanting a more ""professional"" image, the owners introduced a more corporate logo. In 1996, he was brought back as a sleeve patch for the club's blue alternate jerseys, and though the team has changed its logo and colors since then, the Friar remains there to this day.

The Swinging Friar is a cartoon-like character, pudgy, balding, and always smiling. He is dressed as a friar with a tonsure, sandals, a dark hooded cloak, and a rope around the waist. He swings a baseball bat; but reportedly, in some years he swings left-handed, in other years he swings right-handed, he may be ambidextrous, or even a switch hitter. On home game Sundays, the Friar wears a special camouflage cloak as the team honors the military background of San Diego with similar uniforms. The Friar also rings a mission bell at home games immediately after a win.

Originally, The Swinging Friar was represented at the ballpark as a real man wearing a friar outfit. Since his return, the character has been a full mascot costume.

Some in the past have confused The San Diego Chicken as the mascot of the Padres. Although he does make appearances occasionally at San Diego sporting events, he has never been the official mascot of any San Diego sports team.",0,C:\MHOF\MLB Images\sd_mascot.jpg,,3,,3,,1,,,,
17,Lou Seal,30,25-Jul-96,,,"""Born"" on July 25, 1996, Luigi Francisco Seal[10] has been a regular part of all Giants home games, as well as numerous events in San Francisco and around the United States, ever since. Although his name (a play on the name ""Lucille"") is a bit ambiguous, he is indeed ""officially"" male and the person inside the costume is a man.[11] Species-wise, Lou Seal is a reference to the San Francisco Seals, the baseball club that was a mainstay of the Pacific Coast League from 1903 until 1957.

In a contest held by the Giants where fans were asked for ideas, six people submitted the name ""Lou Seal."" These lucky fans were then invited to a game that season where they sat in a luxury box and got to meet the newly named mascot, and one of them was randomly chosen to throw out the first pitch. In 2008 Forbes Magazine named Lou Seal the best mascot in sports.[citation needed] He has had 1,150 consecutive home-game appearances,[12] and is one of the four subjects followed in the second season of the Hulu series Behind the Mask.[13]

Lou Seal also made occasional appearances at the Giants' High-A minor league team, the San Jose Giants. This practice ended in 2006 when the San Jose Giants introduced their own mascot named Gigante.",0,C:\MHOF\MLB Images\sfg_mascot.jpg,,1,,13,,1,,,,
18,The Mariner Moose,13,13-Apr-90,,,"In 1990, a contest for children 14 and under was held to select a mascot, after 2500 entries the club chose the ""Mariner Moose"" The Moose made his debut on April 13, 1990 dancing on the field at the Kingdome. During the 1995 American League Division Series between the M's and the New York Yankees, the Moose gained national attention when he broke his ankle crashing into the outfield wall at the Kingdome while being towed on inline skates behind an ATV in the outfield. Inline skating behind an ATV would continue to be a fan favorite until 1999, when the team moved to Safeco Field and a natural grass playing surface. Since then, the Moose has become quite adept at driving his own ATV around Safeco Field's warning track while performing various tricks and having water coolers emptied on him by bullpen pitchers.

The Moose makes several hundred appearances in the community each year in addition to Mariners home games, at everything from hospitals to wedding receptions. The Mariner Moose was featured on the ballot for the Mascot Hall of Fame in 2006 and 2007. He also nearly ran over Coco Crisp with his ATV in 2007, raising the ire of Red Sox pitching coach John Farrell.",0,C:\MHOF\MLB Images\sea_mascot.jpg,,1,,14,,1,,,,
19,Fred Bird,23,09-Apr-79,,,"He is an anthropomorphic cardinal wearing the team's uniform. A person dressed up as Fredbird can often be found entertaining young children during baseball games at Busch Stadium. His name is derived from ""Redbird"", a synonym for the cardinal bird and for the Cardinals themselves.

Fredbird was introduced in 1979 by the Cardinals, then owned by Anheuser-Busch, to entertain younger fans at the games. He quickly became popular with fans for his dancing, habit of ""beaking"" the heads of supporters, and for throwing T-shirts into the stands. In later years, he has been joined by ""Team Fredbird"", a group of young women employed by the club who help him with his T-shirt toss and occasionally in other duties. He is one of baseball's best-known mascots, and he makes hundreds of appearances year-round in the St. Louis area.",0,C:\MHOF\MLB Images\stl_mascot.jpg,,1,26,10,21,1,,,,
20,Raymond,4,01-Jun-98,,,"Raymond is a furry blue creature wearing a large pair of sneakers and a backwards baseball cap, completed with a Rays jersey. He is described officially as a ""seadog"", having been born somewhere in the Gulf of Mexico. He is said to reside in a private condominium inside Tropicana Field. Raymond was awarded an honorable mention in the GameOps.com Best Mascot contest for 2006.",0,C:\MHOF\MLB Images\tb_mascot.jpg,,1,,7,,1,,,,
21,Rangers Captain,14,01-Apr-02,,,"Introduced in 2002, he is a palomino-style horse, dressed in the team's uniform. He wears the uniform number ""72"" in honor of 1972, the year the Rangers relocated to the Dallas/Fort Worth Metroplex.

Rangers Captain has multiple uniforms to match each of the variants the team has; his chosen uniform for the game matches the uniform choice made by the team for that particular game. However, his outfit sometimes matches a theme the team is promoting; as an example, on April 24, 2010, he dressed up like Elvis Presley as part of an Elvis theme promotional night.",0,C:\MHOF\MLB Images\tex_mascot.jpg,,1,,1,,1,,,,
22,Ace,5,01-Apr-02,,,"He, along with his female counterpart, ""Diamond"" replaced former mascot BJ Birdie before the 2002 season as a mascot duo. Like his predecessor, Ace resembles a large blue jay. The mascot's name is baseball slang for a team's top starting pitcher (the ""ace"" of the staff, such as former Blue Jays pitcher Roy Halladay).

In 2004, Ace became the sole mascot of the team after Diamond was removed by the Blue Jays prior to the start of the season. In 2011, Blue Jays fans were introduced to his younger brother Junior (see below).",0,C:\MHOF\MLB Images\tor_mascot.jpg,,1,,10,22,1,,,,
23,Screech,16,17-Apr-05,,,"He is a bald eagle who wears the home cap and jersey of the team. He was ""hatched"" on April 17, 2005 at the ""Kids Opening Day"" promotion at Robert F. Kennedy Memorial Stadium. A nine-year-old fourth grade student in Washington, Glenda Gutierrez, designed the mascot and won a contest sponsored by the team, explaining that it was ""strong and eats almost everything."" A new ""matured"" edition of the mascot was unveiled March 2, 2009. The Springfield Falcons, which played in the American Hockey League until they moved to Tucson in 2016, also had a mascot named Screech.",0,C:\MHOF\MLB Images\was_mascot.jpg,,1,,10,23,1,,,,
24,Blooper,18,27-Jan-18,,,,0,C:\MHOF\MLB Images\blooper.jpg,,1,,7,,1,,,,
25,T.C. Bear,7,03-Apr-00,,,"T.C. made his debut in Minnesota on April 3, 2000.  The Twins were looking to attract families to the ballpark as attendance had dwindled and created T.C. Bear. A warm and cuddly creature something the kids could relate to.   He is a multi year winner of the Mascot HR Derby that is held in conjunction with the MLB All Star Game each year as well as takes on local celebrities in a softball HR hitting contest at weekend home games.   Full Name:  Twin Cities Bear",0,C:\MHOF\MLB Images\min_mascot.jpg,,1,25,5,,1,Full time position,,,
26,Southpaw,9,13-Jun-04,,,"Southpaw's name is a reference to a left-hand pitcher and is also a reference to Chicago's South Side, where the team plays. He was on a float for Illinois at Barack Obama's inauguration, along with the Washington Nationals racing president representation of Abraham Lincoln.",0,C:\MHOF\MLB Images\cws_mascot.jpg,,1,,7,,1,,,,
27,Baxter the Bobcat,27,01-Apr-00,,,"Baxter the Bobcat's full name is D. Baxter the Bobcat, and he became the mascot in 2000. The mascot was created by Brantley Bell (who is currently an infielder for the Ole Miss Rebels baseball team), the son of Jay Bell, one of the players on the Diamondbacks 1998 inaugural season roster. Brantley came up with the name from two sources. ""D. Baxter"" comes from the team's nickname, ""the D-Backs"". The bobcat is from the original name of the stadium where the Diamondbacks play. Today called Chase Field, it was once called Bank One Ballpark, or ""BOB"" for short. The bobcat is a wild cat native to Arizona.",0,C:\MHOF\MLB Images\ari_mascot.jpg,,1,,6,4,1,,,,
28,Harry the Hawk,31,25-Oct-85,,,"Harry The Hawk was hatched on October 25, 1985 at Zoo Atlanta and has been as a staple for the city of Atlanta for over 30 years. Harry is one of the recognizable characters throughout the city and continues to represent Atlanta across the world through his comedic antics and unique entertainment abilities including dancing, dunking stunts, and stilt walking. Every summer, he participates in various basketball camps such as the youth camps held by the Atlanta Hawks Basketball Academy and the Marcus Jewish Community Center of Atlanta. He has been invited to NBA All-Star weekend for more than 10 years to entertain fans and appear at events in the host city. Harry serves as a major role in the Atlanta community and touches hearts wherever he lands.

Harry first shocked the world by showcasing his dancing skills with a routine to Ciara’s “1, 2 Step”. The performance earned him a standing ovation. The fan favorite gained local and national attention when he suffered an injury while performing a stunt during the first round of the 2016 NBA Playoff series and his subsequent triumphant “comeback” to entertain the fans. The video caught the attention of SLAM Magazine, Reddit, SBNation, Bleacher Report, Fox 5 Atlanta and 11 Alive. He has been recognized in the Guinness Book of World Records for the most half court shots made backwards in one night. In true Harry fashion, he broke the internet with his viral dance routine to Bruno Mars’ “Uptown Funk” and again when he performed an evolution of viral dance moves. He can also be seen in the iconic ESPN SportCenter commercial.",0,c:\mhof\nba images\hawks.jpg,,1,,10,24,1,,,,
29,Lucky the Leprechaun,32,,,,,0,c:\mhof\nba images\lucky.jpg,,4,,3,,1,,,,
30,Hugo the Hornet,34,01-Jan-98,,,,0,c:\mhof\nba images\hornets.jpg,,1,,15,,1,,,,
31,Benny the Bull,35,01-Jan-04,,01-Jan-17,,0,c:\mhof\nba images\benny.jpg,,1,,16,,1,,,,
32,"Moon Dog, Sir CC",36,04-Nov-03,,,"Moondog has a unique connection not just to the Cavaliers, but to all of Cleveland. Cleveland is known worldwide as the Rock & Roll city. Famed Cleveland radio disc-jockey Alan Freed coined the phrase ""Rock & Roll"" and sparked a music explosion in the 1950's. Freed often referred to himself as the ""Moondog"" and his listeners as the ""Moondoggers"".

The Cavaliers Moondog is dedicated to following in the spirit of the original. Alan Freed was innovative, fun-loving, passionate and controversial. Moondog promises to be the same.

Mix: Alinco, Vee, Amazing  Mascots",0,c:\mhof\nba images\moondog.jpg,,1,6,2,,1,,,,
33,"Champ, Mavs Man",37,,,,,0,c:\mhof\nba images\dallas.png,,1,,1,,1,,,,
34,Rocky the Mountain Lion,38,,,01-Jan-08,,0,c:\mhof\nba images\Denver.jpg,,1,,6,5,1,,,,
35,Hooper,39,01-Nov-96,,,,0,c:\mhof\nba images\pistons.jpg,,1,,1,,1,Private auditions,,,
36,Clutch the Bear,40,14-Mar-95,,01-Jan-06,"Since bursting onto the scene in 1995, Houston's own Clutch the Bear has become one of sport's most celebrated mascots. Named the first ever NBA Mascot of the Year in 2005 and again in 2013 as well as being inducted into the Mascot Hall of Fame in his first year of eligibility in 2006, Clutch is the Houston Rockets' number one fan, and can be seen cheering on his team at all home games. Whether he is creating impromptu comedy, cheerleading, signing autographs, dancing with the Power Dancers, doling out hugs or performing on-court skits, Clutch is always a fan favorite.

Made by FiberWorks & Alinco",0,c:\mhof\nba images\houston.jpg,,1,24,5,,1,,,,
37,Boomer,42,01-Jan-91,,,,0,c:\mhof\nba images\boomer.jpg,,1,,6,,1,,,,
38,Chuck the Condor,43,,,,,0,c:\mhof\nba images\clippers 2.jpg,,1,,10,25,1,,,,
39,Grizz,45,,,,,0,c:\mhof\nba images\grizz.jpg,,1,,5,,1,,,,
40,Burnie,46,,,,,0,c:\mhof\nba images\heat.jpg,,1,,7,,1,,,,
41,Bango the Buck,47,,,,,0,c:\mhof\nba images\bango.png,,1,,14,,1,,,,
42,Crunch the Wolf,48,,,,,0,c:\mhof\nba images\crunch.jpg,,1,,17,,1,,,,
43,Pierre the Pelican,49,,,,,0,c:\mhof\nba images\pelicans.png,,1,,10,26,1,,,,
44,Rumble the Bison,51,17-Feb-09,,,,0,c:\mhof\nba images\okc.jpg,,1,,16,,1,,,,
45,Stuff the Magic Dragon,52,31-Oct-89,,,,0,c:\mhof\nba images\orlando.jpg,,1,,18,,1,,,,
46,Franklin,53,,,,,0,c:\mhof\nba images\franklin.jpg,,1,,2,,1,,,,
47,The Gorilla,54,,,01-Jan-05,,0,c:\mhof\nba images\suns.jpg,,1,,19,,1,,,,
48,Blaze the Trail Cat,55,,,,,0,c:\mhof\nba images\blaze.jpg,,1,,6,,1,,,,
49,Slamson the Lion,56,,,,,0,c:\mhof\nba images\slamson.png,,1,,6,3,1,,,,
50,The Coyote,57,13-Apr-83,,01-Jan-07,,0,c:\mhof\nba images\coyote.jpg,,1,,20,,1,,,,
51,The Raptor,58,,,,,0,c:\mhof\nba images\raptors.jpg,,1,,9,,1,,,,
52,Jazz Bear,59,04-Nov-94,,01-Jan-06,,0,c:\mhof\nba images\utah.jpg,,1,,5,,1,,,,
53,G-wiz,60,,,,,0,c:\mhof\nba images\wiz_nba.jpg,,1,,7,,1,,,,
54,Captain Fear,91,02-Jun-00,,,,0,c:\MHOF\NFL Images\tampa_nfl.png,,3,,3,,1,,,,
55,Blitz,90,13-Sep-98,,,,0,c:\MHOF\NFL Images\sea_nfl.jpg,,1,,10,27,1,,,,
56,Sourdough Sam,89,01-Jan-94,,,,0,c:\MHOF\NFL Images\49ers_nfl.jpg,,3,,3,,1,,,,
57,Swoop,88,21-Aug-96,,,,0,c:\MHOF\NFL Images\phil_nfl.jpg,,1,,10,23,1,,,,
58,Gumbo & Sir Saint,86,,,,,0,c:\MHOF\NFL Images\saints_nfl.jpg,,1,,2,,1,,,,
59,Viktor,85,01-Jan-07,,,"January 28th, 960 AD marked the birth of one of the greatest Vikings to live in the Norseman Age.  Some say he was kin to Thor, the Thunder God himself.  These rumors proved true once Thor bestowed the legendary war hammer, Mjolnir upon the young man.  Unfortunately, this Vikingâ€™s tale was lost amidst the breaking surf of the mighty Atlantic Ocean over a thousand years ago.  That is until 2007 when the mystery was finally revealedâ€¦

This legend takes us back to the height of Viking power.  Thorâ€™s chosen Viking hero had set out across the ocean in search of new western lands.  Thorâ€™s father, the chief god Odin, was enraged at Thorâ€™s assistance to mere mortals and sought to destroy them with a violent storm.   A thick, dark blanket of clouds wrapped tightly around the seas of the North Atlantic while streaks of lightning illuminated the desperate scene.  Cold, wet spray tore into the faces of hardened Viking warriors as they wielded massive oars.  Dressed in full battle armor, brandishing the mighty Mjolnir, Viktor the Viking stood in complete disregard of the tempest.  He was renowned for his strength and courage, and his own men faithfully followed him into the murky abyss.  In the end, the tiny ship was blown far off course and deep into the Great Lakes of the North American continent.  Here, the vessel finally submitted to Odinâ€™s fury as Viktor and his Viking brethren were lost to a cyclone of swirling water and foam. 

However, at the frigid bottom of Lake Superior, Thor encased Viktor in ice to await the time when he would thaw and fulfill his destiny.  That time was the summer of 2007.  After thawing on the shores of Lake Superior, Viktor heard rumors of purple clad Vikings that engaged in battle every Sunday.  Thrilled at this news, Viktor raced south to these Vikings of the gridiron and a place called Winter Park. 

When he finally arrived, he was surprised to learn that these Vikings battled in a game called football.  Determined to once again be a hero amongst his Viking brethren, he set out to join the team.  However, having never played the game severely hindered his chances.  In the end, he did not make the official team roster and would have to wait another year to tryout.  Despite this decision, the team asked Viktor to remain a part of the organization as the official team mascot.  They knew his spirit and willingness to support the team would be invaluable.  Viktor was overjoyed to accept.  After all, how much demand is there for a thousand year old Viking warrior skilled in the arts of pillaging and plundering?  So, today Viktor can be found on the sidelines cheering his beloved Viking teammates on to VIKTORY!!!",0,c:\MHOF\NFL Images\vikings_nfl.jpg,,3,25,3,,1,,,,
60,Rampage,84,01-Jul-10,,,,0,c:\MHOF\NFL Images\larams_nfl.jpg,,1,,14,,1,,,,
61,Roary,82,01-Jan-07,,,,0,c:\MHOF\NFL Images\lions_nfl.jpg,,1,,6,3,1,,,,
62,Rowdy,81,19-Aug-96,,,,0,c:\MHOF\NFL Images\dal_nfl.jpg,,3,,3,,1,,,,
63,Staley Da Bear,80,01-Jan-03,,,,0,c:\MHOF\NFL Images\chi_nfl.jpg,,1,,5,,1,,,,
64,Sir Purr,79,,,,,0,c:\MHOF\NFL Images\car_nfl.jpg,https://www.panthers.com/sir-purr/,1,,6,2,1,,,,
65,Freddie Falcon,78,,,,,0,c:\MHOF\NFL Images\ATL_NFL.jpg,,1,,10,28,1,,,,
66,Big Red,77,04-Oct-98,,,,0,c:\MHOF\NFL Images\AZ_NFL.jpg,,1,,10,21,1,,,,
67,T-Rac,76,,,,,0,c:\MHOF\NFL Images\titans_nfl.jpg,https://www.titansonline.com/t-rac/,1,,35,,1,,,,
68,Steely McBeam,75,01-Jan-07,,,,0,c:\MHOF\NFL Images\steelers_nfl.jpg,,3,,3,,1,,,,
69,Raider Rusher,74,01-Jan-13,,,,0,c:\MHOF\NFL Images\oakland_nfl.jpg,,1,,7,,0,,,,
70,Pat Patriot,72,,,,,0,c:\MHOF\NFL Images\ne_nfl.jpg,,3,,3,,1,,,,
71,T.D.,71,10-Aug-97,,,,0,c:\MHOF\NFL Images\dolphins_nfl.jpg,,1,,11,,1,,,,
72,Boltman,70,,,,Retired,0,c:\MHOF\NFL Images\chargers_nfl.jpg,,3,,3,,0,,,,
73,K. C. Wolf,69,20-Aug-89,,01-Jan-06,,0,c:\MHOF\NFL Images\kc_nfl.jpg,,1,,17,,1,,,,
74,Jaxson de Ville,68,18-Aug-96,,,,0,c:\MHOF\NFL Images\jax_nfl.jpg,,1,,6,6,1,,,,
75,Blue,67,17-Sep-06,,,,0,c:\MHOF\NFL Images\ind_nfl.jpg,,1,,1,,1,,,,
76,Toro,66,21-Apr-01,,,,0,c:\MHOF\NFL Images\tx_nfl.jpg,,1,,16,,1,,,,
77,Miles,65,01-Jan-95,,,,0,c:\MHOF\NFL Images\den_nfl.jpg,,1,,1,,1,,,,
